,código,sección,pregunta
0,s1p1,Experiencia general con los precios dinámicos,Entiendo claramente cómo se calculan los precios de los productos que compro.
1,s1p2,Experiencia general con los precios dinámicos,Considero que los precios varían de manera transparente y justa.
2,s1p3,Experiencia general con los precios dinámicos,Me siento cómodo/a comprando productos cuyo precio cambia en función de la demanda o la temporada.
3,s1p4,Experiencia general con los precios dinámicos,Las fluctuaciones de precios no afectan negativamente mi confianza en la marca.
4,s1p5,Experiencia general con los precios dinámicos,Creo que el modelo de precios dinámicos beneficia tanto a los clientes como a la empresa.
5,s2p6,Percepción de la transparencia y equidad,Los precios reflejan adecuadamente la calidad del producto o servicio.
6,s2p7,Percepción de la transparencia y equidad,Me resulta fácil prever cuándo un producto tendrá un precio más bajo o más alto.
7,s2p8,Percepción de la transparencia y equidad,Siento que la empresa es honesta al implementar precios dinámicos.
8,s2p9,Percepción de la transparencia y equidad,"Prefiero precios dinámicos sobre precios fijos, ya que siento que me permite encontrar mejores ofertas."
9,s3p10,Impacto en la experiencia de compra,Las variaciones en los precios influyen positivamente en mi decisión de comprar.
10,s3p11,Impacto en la experiencia de compra,Las promociones y descuentos asociados a los precios dinámicos son atractivas.
11,s3p12,Impacto en la experiencia de compra,La posibilidad de pagar precios diferentes me motiva a buscar más productos en la tienda.
12,s3p13,Impacto en la experiencia de compra,"En general, estoy satisfecho/a con mi experiencia de compra bajo este sistema de precios."
13,s4p14,Sugerencias adicionales,"Por favor, comparte cualquier comentario o sugerencia sobre el modelo de precios dinámicos"
